X [mm],Y [mm],Z [mm],X/D [-],Y/D [-],Z/D [-],U/U_hub [-]
10416,-540,300,1,-1.298076923,0,1.000329182
10416,-540,300,1,-1.298076923,0,0.999901673
10416,-520,300,1,-1.25,0,0.997678624
10416,-500,300,1,-1.201923077,0,0.996951858
10416,-480,300,1,-1.153846154,0,0.997165613
10416,-480,300,1,-1.153846154,0,0.999516914
10416,-460,300,1,-1.105769231,0,0.999003903
10416,-440,300,1,-1.057692308,0,0.999559665
10416,-420,300,1,-1.009615385,0,0.99840539
10416,-420,300,1,-1.009615385,0,1.002594982
10416,-400,300,1,-0.961538462,0,1.002381227
10416,-380,300,1,-0.913461538,0,1.003963012
10416,-360,300,1,-0.865384615,0,1.001184201
10416,-360,300,1,-0.865384615,0,1.000628439
10416,-340,300,1,-0.817307692,0,1.001184201
10416,-320,300,1,-0.769230769,0,1.003621004
10416,-300,300,1,-0.721153846,0,1.000371933
10416,-300,300,1,-0.721153846,0,1.003621004
10416,-280,300,1,-0.673076923,0,1.002765986
10416,-260,300,1,-0.625,0,0.973738099
10416,-240,300,1,-0.576923077,0,0.908329165
10416,-240,300,1,-0.576923077,0,0.893366337
10416,-220,300,1,-0.528846154,0,0.783068919
10416,-210,300,1,-0.504807692,0,0.727791957
10416,-200,300,1,-0.480769231,0,0.671788229
10416,-180,300,1,-0.432692308,0,0.598128364
10416,-180,300,1,-0.432692308,0,0.602788216
10416,-160,300,1,-0.384615385,0,0.573033564
10416,-140,300,1,-0.336538462,0,0.553624638
10416,-120,300,1,-0.288461538,0,0.543364413
10416,-120,300,1,-0.288461538,0,0.544689692
10416,-100,300,1,-0.240384615,0,0.539687833
10416,-80,300,1,-0.192307692,0,0.542723149
10416,-60,300,1,-0.144230769,0,0.571879288
10416,-60,300,1,-0.144230769,0,0.580001967
10416,-40,300,1,-0.096153846,0,0.650455511
10416,-20,300,1,-0.048076923,0,0.75211724
10416,0,300,1,0,0,0.807052195
10416,20,300,1,0.048076923,0,0.793585649
10416,40,300,1,0.096153846,0,0.71560794
10416,60,300,1,0.144230769,0,0.638228743
10416,60,300,1,0.144230769,0,0.627327254
10416,80,300,1,0.192307692,0,0.58838115
10416,100,300,1,0.240384615,0,0.571366277
10416,120,300,1,0.288461538,0,0.568330961
10416,120,300,1,0.288461538,0,0.566150663
10416,140,300,1,0.336538462,0,0.574914605
10416,160,300,1,0.384615385,0,0.583977804
10416,180,300,1,0.432692308,0,0.615356992
10416,180,300,1,0.432692308,0,0.625360711
10416,200,300,1,0.480769231,0,0.691325407
10416,210,300,1,0.504807692,0,0.743695306
10416,220,300,1,0.528846154,0,0.814234352
10416,240,300,1,0.576923077,0,0.92453177
10416,240,300,1,0.576923077,0,0.932055935
10416,260,300,1,0.625,0,0.981347766
10416,280,300,1,0.673076923,0,0.997593122
10416,300,300,1,0.721153846,0,1.003022491
10416,300,300,1,0.721153846,0,1.007639592
10416,320,300,1,0.769230769,0,0.99750762
10416,340,300,1,0.817307692,0,1.000329182
10416,360,300,1,0.865384615,0,0.99703736
10416,360,300,1,0.865384615,0,0.997165613
10416,380,300,1,0.913461538,0,0.992163753
10416,400,300,1,0.961538462,0,0.993360779
10416,420,300,1,1.009615385,0,0.990239961
10416,420,300,1,1.009615385,0,0.991949999
10416,440,300,1,1.057692308,0,0.98929944
10416,460,300,1,1.105769231,0,0.986477879
10416,480,300,1,1.153846154,0,0.982331038
10416,480,300,1,1.153846154,0,0.984896094
10416,500,300,1,1.201923077,0,0.986520629
10416,520,300,1,1.25,0,0.982758547
10416,540,300,1,1.298076923,0,0.981604272
10416,540,300,1,1.298076923,0,0.984169328
10832,-540,300,2,-1.298076923,0,0.999343815
10832,-540,300,2,-1.298076923,0,1.003531311
10832,-520,300,2,-1.25,0,1.004783243
10832,-500,300,2,-1.201923077,0,1.00279742
10832,-480,300,2,-1.153846154,0,1.00240889
10832,-480,300,2,-1.153846154,0,1.003531311
10832,-460,300,2,-1.105769231,0,1.00922976
10832,-440,300,2,-1.057692308,0,1.002279379
10832,-420,300,2,-1.009615385,0,1.007373447
10832,-420,300,2,-1.009615385,0,1.002106699
10832,-400,300,2,-0.961538462,0,0.998221393
10832,-380,300,2,-0.913461538,0,0.999084795
10832,-360,300,2,-0.865384615,0,1.004135692
10832,-360,300,2,-0.865384615,0,1.00240889
10832,-340,300,2,-0.817307692,0,1.00288376
10832,-320,300,2,-0.769230769,0,0.997876033
10832,-300,300,2,-0.721153846,0,0.984665993
10832,-300,300,2,-0.721153846,0,0.984320633
10832,-280,300,2,-0.673076923,0,0.963080961
10832,-260,300,2,-0.625,0,0.916025591
10832,-240,300,2,-0.576923077,0,0.855155801
10832,-240,300,2,-0.576923077,0,0.859127447
10832,-220,300,2,-0.528846154,0,0.79407016
10832,-210,300,2,-0.504807692,0,0.755303442
10832,-200,300,2,-0.480769231,0,0.722235173
10832,-180,300,2,-0.432692308,0,0.639823521
10832,-180,300,2,-0.432692308,0,0.649838976
10832,-160,300,2,-0.384615385,0,0.595056164
10832,-140,300,2,-0.336538462,0,0.555469215
10832,-120,300,2,-0.288461538,0,0.537294618
10832,-120,300,2,-0.288461538,0,0.538935081
10832,-100,300,2,-0.240384615,0,0.548518835
10832,-80,300,2,-0.192307692,0,0.574809404
10832,-60,300,2,-0.144230769,0,0.607143782
10832,-60,300,2,-0.144230769,0,0.597862218
10832,-40,300,2,-0.096153846,0,0.640643752
10832,-20,300,2,-0.048076923,0,0.661883424
10832,0,300,2,0,0,0.675352484
10832,20,300,2,0.048076923,0,0.66615726
10832,40,300,2,0.096153846,0,0.647507792
10832,60,300,2,0.144230769,0,0.617418257
10832,60,300,2,0.144230769,0,0.61910189
10832,80,300,2,0.192307692,0,0.590091607
10832,100,300,2,0.240384615,0,0.579601281
10832,120,300,2,0.288461538,0,0.582364165
10832,120,300,2,0.288461538,0,0.581155404
10832,140,300,2,0.336538462,0,0.609129605
10832,160,300,2,0.384615385,0,0.645565139
10832,180,300,2,0.432692308,0,0.704751297
10832,180,300,2,0.432692308,0,0.683338945
10832,200,300,2,0.480769231,0,0.765059877
10832,210,300,2,0.504807692,0,0.803999275
10832,220,300,2,0.528846154,0,0.832577857
10832,240,300,2,0.576923077,0,0.890209893
10832,240,300,2,0.576923077,0,0.871085554
10832,260,300,2,0.625,0,0.943222732
10832,280,300,2,0.673076923,0,0.969858661
10832,300,300,2,0.721153846,0,0.992177584
10832,300,300,2,0.721153846,0,0.98233481
10832,320,300,2,0.769230769,0,1.000466237
10832,340,300,2,0.817307692,0,1.005214944
10832,360,300,2,0.865384615,0,0.998048713
10832,360,300,2,0.865384615,0,1.003660821
10832,380,300,2,0.913461538,0,1.00275425
10832,400,300,2,0.961538462,0,0.998739434
10832,420,300,2,1.009615385,0,0.998307733
10832,420,300,2,1.009615385,0,0.996321911
10832,440,300,2,1.057692308,0,1.0025384
10832,460,300,2,1.105769231,0,0.992781965
10832,480,300,2,1.153846154,0,0.995372169
10832,480,300,2,1.153846154,0,0.991314183
10832,500,300,2,1.201923077,0,0.999343815
10832,520,300,2,1.25,0,0.997832863
10832,540,300,2,1.298076923,0,0.995588019
10832,540,300,2,1.298076923,0,0.991271013
11248,-540,300,3,-1.298076923,0,1.005214944
11248,-540,300,3,-1.298076923,0,1.005387624
11248,-520,300,3,-1.25,0,1.00944561
11248,-500,300,3,-1.201923077,0,0.998005543
11248,-480,300,3,-1.153846154,0,1.00948878
11248,-480,300,3,-1.153846154,0,1.006423706
11248,-460,300,3,-1.105769231,0,1.006078345
11248,-440,300,3,-1.057692308,0,1.008150508
11248,-420,300,3,-1.009615385,0,0.998350904
11248,-420,300,3,-1.009615385,0,1.001718169
11248,-400,300,3,-0.961538462,0,1.00258157
11248,-380,300,3,-0.913461538,0,1.000984277
11248,-360,300,3,-0.865384615,0,0.995458509
11248,-360,300,3,-0.865384615,0,1.00275425
11248,-340,300,3,-0.817307692,0,0.995199489
11248,-320,300,3,-0.769230769,0,0.990191761
11248,-300,300,3,-0.721153846,0,0.967397968
11248,-300,300,3,-0.721153846,0,0.961656349
11248,-280,300,3,-0.673076923,0,0.945899276
11248,-260,300,3,-0.625,0,0.896771743
11248,-240,300,3,-0.576923077,0,0.863271773
11248,-240,300,3,-0.576923077,0,0.854162889
11248,-220,300,3,-0.528846154,0,0.818504416
11248,-210,300,3,-0.504807692,0,0.802617833
11248,-200,300,3,-0.480769231,0,0.764325986
11248,-180,300,3,-0.432692308,0,0.716709405
11248,-180,300,3,-0.432692308,0,0.700693311
11248,-160,300,3,-0.384615385,0,0.667840892
11248,-140,300,3,-0.336538462,0,0.62613861
11248,-120,300,3,-0.288461538,0,0.596308096
11248,-120,300,3,-0.288461538,0,0.593847402
11248,-100,300,3,-0.240384615,0,0.584090968
11248,-80,300,3,-0.192307692,0,0.588926015
11248,-60,300,3,-0.144230769,0,0.601402164
11248,-60,300,3,-0.144230769,0,0.594451783
11248,-40,300,3,-0.096153846,0,0.606971102
11248,-20,300,3,-0.048076923,0,0.622857686
11248,0,300,3,0,0,0.626311291
11248,20,300,3,0.048076923,0,0.619922121
11248,40,300,3,0.096153846,0,0.614957564
11248,60,300,3,0.144230769,0,0.606668912
11248,60,300,3,0.144230769,0,0.610683727
11248,80,300,3,0.192307692,0,0.604639918
11248,100,300,3,0.240384615,0,0.620699182
11248,120,300,3,0.288461538,0,0.635377004
11248,120,300,3,0.288461538,0,0.640945942
11248,140,300,3,0.336538462,0,0.672201069
11248,160,300,3,0.384615385,0,0.70017527
11248,180,300,3,0.432692308,0,0.744295076
11248,180,300,3,0.432692308,0,0.750597905
11248,200,300,3,0.480769231,0,0.791091426
11248,210,300,3,0.504807692,0,0.799854949
11248,220,300,3,0.528846154,0,0.833786619
11248,240,300,3,0.576923077,0,0.88148954
11248,240,300,3,0.576923077,0,0.894440559
11248,260,300,3,0.625,0,0.9284154
11248,280,300,3,0.673076923,0,0.957382513
11248,300,300,3,0.721153846,0,0.981600919
11248,300,300,3,0.721153846,0,0.976550021
11248,320,300,3,0.769230769,0,0.990019081
11248,340,300,3,0.817307692,0,0.995113149
11248,360,300,3,0.865384615,0,1.002106699
11248,360,300,3,0.865384615,0,1.00271108
11248,380,300,3,0.913461538,0,1.008495869
11248,400,300,3,0.961538462,0,1.006898576
11248,420,300,3,1.009615385,0,0.996365081
11248,420,300,3,1.009615385,0,0.99623557
11248,440,300,3,1.057692308,0,0.99567436
11248,460,300,3,1.105769231,0,0.994897298
11248,480,300,3,1.153846154,0,0.991314183
11248,480,300,3,1.153846154,0,0.991832224
11248,500,300,3,1.201923077,0,0.994163407
11248,520,300,3,1.25,0,0.99571753
11248,540,300,3,1.298076923,0,0.990925653
11248,540,300,3,1.298076923,0,0.994249747
11664,-540,300,4,-1.298076923,0,1.004955923
11664,-540,300,4,-1.298076923,0,1.005862495
11664,-520,300,4,-1.25,0,1.014496508
11664,-500,300,4,-1.201923077,0,1.008366358
11664,-480,300,4,-1.153846154,0,1.011776794
11664,-480,300,4,-1.153846154,0,1.00292693
11664,-460,300,4,-1.105769231,0,1.007848318
11664,-440,300,4,-1.057692308,0,1.006121515
11664,-420,300,4,-1.009615385,0,1.013546766
11664,-420,300,4,-1.009615385,0,1.004481053
11664,-400,300,4,-0.961538462,0,1.003099611
11664,-380,300,4,-0.913461538,0,0.999171135
11664,-360,300,4,-0.865384615,0,0.995415339
11664,-360,300,4,-0.865384615,0,0.999386985
11664,-340,300,4,-0.817307692,0,0.983155041
11664,-320,300,4,-0.769230769,0,0.973571287
11664,-300,300,4,-0.721153846,0,0.949525561
11664,-300,300,4,-0.721153846,0,0.952633806
11664,-280,300,4,-0.673076923,0,0.925091305
11664,-260,300,4,-0.625,0,0.887403839
11664,-240,300,4,-0.576923077,0,0.865128086
11664,-240,300,4,-0.576923077,0,0.862019841
11664,-220,300,4,-0.528846154,0,0.840132618
11664,-210,300,4,-0.504807692,0,0.820058539
11664,-200,300,4,-0.480769231,0,0.784011535
11664,-180,300,4,-0.432692308,0,0.742827294
11664,-180,300,4,-0.432692308,0,0.761649442
11664,-160,300,4,-0.384615385,0,0.710536086
11664,-140,300,4,-0.336538462,0,0.680403381
11664,-120,300,4,-0.288461538,0,0.65294722
11664,-120,300,4,-0.288461538,0,0.65920688
11664,-100,300,4,-0.240384615,0,0.630153426
11664,-80,300,4,-0.192307692,0,0.624023277
11664,-60,300,4,-0.144230769,0,0.617893128
11664,-60,300,4,-0.144230769,0,0.614914394
11664,-40,300,4,-0.096153846,0,0.612928571
11664,-20,300,4,-0.048076923,0,0.619663101
11664,0,300,4,0,0,0.618108979
11664,20,300,4,0.048076923,0,0.615399743
11664,40,300,4,0.096153846,0,0.61527149
11664,60,300,4,0.144230769,0,0.624120934
11664,60,300,4,0.144230769,0,0.621555878
11664,80,300,4,0.192307692,0,0.636903464
11664,100,300,4,0.240384615,0,0.651567036
11664,120,300,4,0.288461538,0,0.673455516
11664,120,300,4,0.288461538,0,0.676790089
11664,140,300,4,0.336538462,0,0.704791953
11664,160,300,4,0.384615385,0,0.734290099
11664,180,300,4,0.432692308,0,0.773193452
11664,180,300,4,0.432692308,0,0.77126966
11664,200,300,4,0.480769231,0,0.80867673
11664,210,300,4,0.504807692,0,0.81141279
11664,220,300,4,0.528846154,0,0.834327293
11664,240,300,4,0.576923077,0,0.877334736
11664,240,300,4,0.576923077,0,0.862884919
11664,260,300,4,0.625,0,0.909440689
11664,280,300,4,0.673076923,0,0.93179943
11664,300,300,4,0.721153846,0,0.951080102
11664,300,300,4,0.721153846,0,0.9555262
11664,320,300,4,0.769230769,0,0.96783847
11664,340,300,4,0.817307692,0,0.982416539
11664,360,300,4,0.865384615,0,0.982331038
11664,360,300,4,0.865384615,0,0.986905388
11664,380,300,4,0.913461538,0,0.992505761
11664,400,300,4,0.961538462,0,0.995925836
11664,420,300,4,1.009615385,0,0.989641448
11664,420,300,4,1.009615385,0,0.981219513
11664,440,300,4,1.057692308,0,0.980877506
11664,460,300,4,1.105769231,0,0.984041075
11664,480,300,4,1.153846154,0,0.980621
11664,480,300,4,1.153846154,0,0.989855203
11664,500,300,4,1.201923077,0,0.98335706
11664,520,300,4,1.25,0,0.977542933
11664,540,300,4,1.298076923,0,0.989342191
11664,540,300,4,1.298076923,0,0.987803158
12080,-540,300,5,-1.298076923,0,1.010407876
12080,-520,300,5,-1.25,0,1.01404306
12080,-500,300,5,-1.201923077,0,1.007421833
12080,-480,300,5,-1.153846154,0,1.01187926
12080,-460,300,5,-1.105769231,0,1.014389268
12080,-440,300,5,-1.057692308,0,1.002098886
12080,-420,300,5,-1.009615385,0,1.000454398
12080,-400,300,5,-0.961538462,0,1.001752678
12080,-380,300,5,-0.913461538,0,0.999069566
12080,-360,300,5,-0.865384615,0,0.990024884
12080,-340,300,5,-0.817307692,0,0.975830358
12080,-320,300,5,-0.769230769,0,0.96176566
12080,-300,300,5,-0.721153846,0,0.940430596
12080,-280,300,5,-0.673076923,0,0.91641242
12080,-260,300,5,-0.625,0,0.889538029
12080,-240,300,5,-0.576923077,0,0.859591042
12080,-220,300,5,-0.528846154,0,0.833409066
12080,-210,300,5,-0.504807692,0,0.808049335
12080,-200,300,5,-0.480769231,0,0.798874824
12080,-180,300,5,-0.432692308,0,0.760878503
12080,-160,300,5,-0.384615385,0,0.728248404
12080,-140,300,5,-0.336538462,0,0.703581088
12080,-120,300,5,-0.288461538,0,0.677702045
12080,-100,300,5,-0.240384615,0,0.6561506
12080,-80,300,5,-0.192307692,0,0.638883479
12080,-60,300,5,-0.144230769,0,0.634209672
12080,-40,300,5,-0.096153846,0,0.619366007
12080,-20,300,5,-0.048076923,0,0.618024451
12080,0,300,5,0,0,0.620274803
12080,20,300,5,0.048076923,0,0.62235205
12080,40,300,5,0.096153846,0,0.640527967
12080,60,300,5,0.144230769,0,0.652169209
12080,80,300,5,0.192307692,0,0.67073461
12080,100,300,5,0.240384615,0,0.69622417
12080,120,300,5,0.288461538,0,0.71998269
12080,140,300,5,0.336538462,0,0.739240506
